Test #,Epsilon,Sparsity,Noise,Time to Compress,Compression Ratio
1,0.060124811,1,0.02,15622,0.1
2,0.053735955,1,0.08,18494,0.41
3,0.050176163,1,0.1,17839,0.515
4,0.040201241,1,0.2,8814,0.71
5,0.06016793,0.7,0.02,4067,0.455223881
6,0.053105785,0.7,0.08,4818,0.512635379
7,0.05112739,0.7,0.1,5752,0.551724138
8,0.039578247,0.7,0.2,2593,0.776978417
9,0.060049557,0.5,0.02,1123,0.558659218
10,0.053448832,0.5,0.08,1605,0.613065327
11,0.051112483,0.5,0.1,1535,0.65625
12,0.040598563,0.5,0.2,832,0.802030457
13,0.060831652,0.2,0.02,159,0.729166667
14,0.055692743,0.2,0.08,83,0.805194805
15,0.054345791,0.2,0.1,138,0.752941176
16,0.047656446,0.2,0.2,31,0.923076923
1,0.060123531,1,0.02,16074,0.1
2,0.053063441,1,0.08,19431,0.4
3,0.050715532,1,0.1,18856,0.485
4,0.039353771,1,0.2,8735,0.715
5,0.060233214,0.7,0.02,4704,0.407142857
6,0.052797647,0.7,0.08,5509,0.507142857
7,0.050297495,0.7,0.1,5835,0.596491228
8,0.040357295,0.7,0.2,2869,0.761565836
9,0.060156062,0.5,0.02,1927,0.514563107
10,0.053087586,0.5,0.08,1450,0.61878453
11,0.051024514,0.5,0.1,1915,0.640394089
12,0.038637087,0.5,0.2,973,0.805970149
13,0.061361282,0.2,0.02,64,0.818181818
14,0.053979153,0.2,0.08,105,0.810126582
15,0.051909818,0.2,0.1,86,0.8
16,0.04165188,0.2,0.2,85,0.886363636
1,0.060126834,1,0.02,14681,0.1
2,0.052629079,1,0.08,19526,0.41
3,0.050250469,1,0.1,18438,0.49
4,0.038585638,1,0.2,8427,0.72
5,0.060105702,0.7,0.02,4953,0.433566434
6,0.05307144,0.7,0.08,5796,0.5
7,0.052145846,0.7,0.1,4793,0.5917603
8,0.039290153,0.7,0.2,2636,0.781021898
9,0.060418903,0.5,0.02,1564,0.510204082
10,0.054718679,0.5,0.08,1920,0.565853659
11,0.052240042,0.5,0.1,1575,0.646153846
12,0.042263255,0.5,0.2,864,0.823529412
13,0.060335745,0.2,0.02,177,0.760869565
14,0.054202862,0.2,0.08,117,0.775
15,0.053183751,0.2,0.1,78,0.845070423
